req_id,t,size,op,seq,key,pred_ms,assigned,actual_ms,node_scale_before,node_scale_after
180,45809737.172,2523,0,1,807,1.000,3,16.036,0.500,79.638
187,45809737.188,103809024,0,1,425,1.000,4,38.172,0.500,3.699
193,45809737.205,4296,1,1,229,1.000,5,6.004,0.500,7.979
192,45809737.222,4840,0,0,17,1.000,6,9.007,0.500,48.498
186,45809737.238,3695,1,0,319,1.000,7,6.004,0.500,20.901
182,45809737.254,1786,0,0,375,1.000,8,6.004,0.500,2.709
178,45809737.273,1850,1,0,365,1.000,9,9.004,0.500,15.668
199,45809737.290,4028,1,0,805,1.000,1,2.006,0.500,10.558
204,45809737.306,2602,0,1,756,1.000,3,8.040,0.500,76.058
197,45809737.323,4636,0,1,961,1.000,4,0.503,0.500,3.539
194,45809737.340,4694,1,0,461,1.000,5,1.004,0.500,7.630
202,45809737.357,4272,0,0,569,1.000,6,9.008,0.500,46.524
189,45809737.374,3270,0,1,924,1.000,7,1.010,0.500,19.907
188,45809737.391,70254592,0,0,298,1.000,8,605.259,0.500,32.837
198,45809737.408,58720256,0,1,541,1.000,9,44.904,0.500,17.130
200,45809737.425,4865,0,0,141,1.000,1,2.003,0.500,10.130
216,45809737.442,3511,1,1,782,1.000,3,36.032,0.500,74.057
205,45809737.459,3737,0,0,278,1.000,4,4.502,0.500,3.587
196,45809737.476,1503,0,0,4,1.000,5,9.003,0.500,7.699
210,45809737.493,4021,1,1,82,1.000,6,4.008,0.500,44.398
191,45809737.510,2122,1,0,991,1.000,7,9.006,0.500,19.362
201,45809737.527,1132,0,1,172,1.000,8,9.013,0.500,31.645
213,45809737.545,2978,1,0,231,1.000,9,9.007,0.500,16.724
214,45809737.562,1388,0,0,880,1.000,1,3.004,0.500,9.773
223,45809737.579,2914,0,1,549,1.000,3,4.044,0.500,70.556
208,45809737.595,1900,0,0,924,1.000,4,0.004,0.500,3.408
206,45809737.612,4911,0,1,760,1.000,5,0.006,0.500,7.314
211,45809737.629,4133,0,0,834,1.000,6,7.007,0.500,42.528
203,45809737.646,3649,0,1,119,1.000,7,0.008,0.500,18.394
207,45809737.663,3002,0,1,62,1.000,8,2.004,0.500,30.163
215,45809737.680,3312,1,0,116,1.000,9,2.009,0.500,15.988
224,45809737.697,3465,0,0,407,1.000,1,1.004,0.500,9.335
225,45809737.714,1646,0,0,984,1.000,3,20.032,0.500,68.030
226,45809737.730,89128960,1,0,98,1.000,4,8.422,0.500,3.659
231,45809737.747,2737,0,0,365,1.000,5,3.004,0.500,7.099
212,45809737.764,1494,1,0,87,1.000,6,9.006,0.500,40.852
227,45809737.781,1511,1,0,686,1.000,7,3.013,0.500,17.625
219,45809737.798,4045,0,0,282,1.000,8,5.003,0.500,28.905
218,45809737.814,4429,1,0,333,1.000,9,5.008,0.500,15.439
229,45809737.831,1695,0,0,906,1.000,1,6.003,0.500,9.168
235,45809737.848,2089,1,1,290,1.000,3,28.040,0.500,66.031
228,45809737.865,3564,1,0,615,1.000,4,3.003,0.500,3.626
232,45809737.883,1643,0,0,199,1.000,5,4.003,0.500,6.944
221,45809737.900,4642,0,1,807,1.000,6,2.007,0.500,38.910
237,45809737.917,2492,0,1,261,1.000,7,4.007,0.500,16.944
220,45809737.934,4889,1,0,561,1.000,8,0.007,0.500,27.460
239,45809737.952,4710,0,1,41,1.000,9,0.006,0.500,14.667
242,45809737.983,2000,0,1,630,1.000,1,0.005,0.500,8.710
240,45809738.002,4423,1,1,94,1.000,3,4.052,0.500,62.932
241,45809738.021,3115,1,0,988,1.000,4,1.502,0.500,3.520
236,45809738.039,59768832,1,1,626,1.000,5,128.571,0.500,13.025
230,45809738.058,3578,1,0,369,1.000,6,0.006,0.500,36.965
243,45809738.077,90177536,1,0,19,1.000,7,15.929,0.500,16.893
233,45809738.095,81788928,1,0,241,1.000,8,13.930,0.500,26.784
251,45809738.113,3903,1,0,723,1.000,9,3.006,0.500,14.084
250,45809738.131,2686,1,0,236,1.000,1,6.004,0.500,8.575
247,45809738.150,3385,0,1,699,1.000,3,20.036,0.500,60.787
244,45809738.168,4218,1,1,818,1.000,4,4.503,0.500,3.569
245,45809738.187,3554,1,1,660,1.000,5,3.012,0.500,12.524
238,45809738.206,3898,0,1,474,1.000,6,0.007,0.500,35.117
249,45809738.223,3733,0,0,967,1.000,7,1.005,0.500,16.099
246,45809738.242,2634,0,1,4,1.000,8,2.010,0.500,25.545
255,45809738.260,1694,1,1,295,1.000,9,1.008,0.500,13.430
265,45809738.278,1341,0,0,878,1.000,1,0.005,0.500,8.146
253,45809738.297,4095,0,0,10,1.000,3,32.040,0.500,59.350
252,45809738.315,1707,1,0,869,1.000,4,4.503,0.500,3.616
248,45809738.333,71303168,1,0,40,1.000,5,14.390,0.500,12.618
256,45809738.352,4591,1,1,737,1.000,6,9.006,0.500,33.811
267,45809738.370,100663296,0,1,226,1.000,7,61.115,0.500,18.350
258,45809738.388,1950,1,0,383,1.000,8,0.006,0.500,24.268
257,45809738.407,4579,1,0,746,1.000,9,6.007,0.500,13.059
278,45809738.427,4490,1,0,661,1.000,1,7.004,0.500,8.089
260,45809738.446,1868,1,1,990,1.000,3,24.044,0.500,57.584
263,45809738.464,3774,0,1,54,1.000,4,2.003,0.500,3.535
262,45809738.482,74448896,1,0,174,1.000,5,16.053,0.500,12.789
259,45809738.500,52428800,0,0,470,1.000,6,184.527,0.500,41.347
268,45809738.518,1313,0,0,905,1.000,7,6.015,0.500,17.733
264,45809738.537,4453,1,1,657,1.000,8,8.007,0.500,23.455
273,45809738.555,4067,1,1,617,1.000,9,1.006,0.500,12.457
281,45809738.573,3862,0,1,335,1.000,1,3.004,0.500,7.835
270,45809738.591,76546048,0,0,138,1.000,3,587.460,0.500,84.078
282,45809738.609,4993,1,1,276,1.000,4,3.502,0.500,3.533
276,45809738.628,1025,0,1,196,1.000,5,6.007,0.500,12.450
274,45809738.646,2076,0,0,684,1.000,6,4.010,0.500,39.480
271,45809738.664,4397,1,0,228,1.000,7,0.007,0.500,16.847
269,45809738.682,1315,0,1,355,1.000,8,1.006,0.500,22.333
277,45809738.701,1656,1,0,934,1.000,9,7.007,0.500,12.184
285,45809738.719,2083,1,1,782,1.000,1,8.004,0.500,7.844
279,45809738.737,2824,1,1,283,1.000,3,20.044,0.500,80.876
284,45809738.756,3714,1,0,511,1.000,4,2.003,0.500,3.457
283,45809738.774,1436,1,0,217,1.000,5,7.005,0.500,12.178
286,45809738.793,2466,1,1,690,1.000,6,2.009,0.500,37.607
280,45809738.810,1675,0,1,901,1.000,7,4.007,0.500,16.205
289,45809738.829,4400,1,1,550,1.000,8,3.013,0.500,21.367
287,45809738.848,87031808,0,1,612,1.000,9,64.377,0.500,14.794
299,45809738.866,2753,0,0,343,1.000,1,7.005,0.500,7.802
288,45809738.884,2566,0,1,116,1.000,3,16.036,0.500,77.634
292,45809738.903,2311,1,1,787,1.000,4,4.002,0.500,3.484
291,45809738.921,4538,1,0,108,1.000,5,0.004,0.500,11.569
297,45809738.939,1534,1,1,639,1.000,6,2.007,0.500,35.827
296,45809738.957,1296,1,1,454,1.000,7,7.006,0.500,15.745
302,45809738.975,1956,0,0,8,1.000,8,0.010,0.500,20.299
290,45809738.994,3968,1,1,732,1.000,9,4.015,0.500,14.255
304,45809739.012,1540,0,1,734,1.000,1,5.004,0.500,7.662
293,45809739.030,4176,0,0,505,1.000,3,24.028,0.500,74.954
301,45809739.048,3588,0,1,333,1.000,4,3.005,0.500,3.460
313,45809739.067,1105,1,1,634,1.000,5,4.004,0.500,11.191
298,45809739.085,3992,1,0,44,1.000,6,0.008,0.500,34.036
303,45809739.104,4424,0,1,596,1.000,7,2.006,0.500,15.058
311,45809739.123,1993,0,1,650,1.000,8,1.007,0.500,19.334
295,45809739.141,2322,0,0,770,1.000,9,5.009,0.500,13.792
305,45809739.159,3816,1,0,171,1.000,1,3.004,0.500,7.429
300,45809739.178,3479,0,1,454,1.000,3,28.032,0.500,72.608
310,45809739.196,4467,1,1,641,1.000,4,4.503,0.500,3.512
315,45809739.214,1668,0,1,463,1.000,5,1.004,0.500,10.682
307,45809739.233,4575,1,1,932,1.000,6,1.007,0.500,32.384
317,45809739.251,2142,1,0,606,1.000,7,5.013,0.500,14.556
319,45809739.269,2173,1,1,296,1.000,8,8.008,0.500,18.768
309,45809739.298,55574528,0,0,560,1.000,9,314.075,0.500,28.807
316,45809739.313,1559,1,0,57,1.000,1,3.004,0.500,7.208
312,45809739.327,2748,1,1,271,1.000,3,8.028,0.500,69.379
